cin 2
cout 3
endl 38
return 4
if 5
else 6
while 7
bool 10
int 11
float 12
# 13
>= 14
<= 15
<< 16
>> 17
< 18
> 19
&& 20
|| 21
== 24
!= 25
= 26
! 27
( 29
) 30
{ 31
} 32
; 33
+ 34
- 35
* 36
/ 37
